Number,MAC,SSID,Frequency,Signal,LAT,LON,ALT,Time,Aprrox. w-center Algo1
1,00:1a:dd:e3:06:e4,afikim-wifi,2412,-78.0,32.102529803081474,35.2073198916877,699.8860444903257,2017-12-03 08:37:10,Aprrox. w-center Algo1
2,d8:fe:e3:03:5a:31,Moria,2437,-83.0,32.10253058643105,35.2073073810576,699.7521498395156,2017-12-03 08:37:10,Aprrox. w-center Algo1
3,00:27:19:e3:2d:fe,AUC_51_3,2412,-86.0,32.10253330333696,35.20726399020641,699.287760530489,2017-12-03 08:37:10,Aprrox. w-center Algo1
4,00:25:86:cc:00:f8,AUC_54_R,2432,-86.0,32.10365113349192,35.20818644933491,693.5284770660687,2017-12-03 08:37:10,Aprrox. w-center Algo1
5,14:ae:db:32:52:12,surikat,2437,-89.0,32.10253330333696,35.20726399020641,699.287760530489,2017-12-03 08:37:10,Aprrox. w-center Algo1
6,1c:b9:c4:16:f1:98,Ariel_University,2462,-90.0,32.10241705106684,35.20907104239622,696.5579961466481,2017-12-03 08:37:10,Aprrox. w-center Algo1
7,34:0b:01:19:21:42,afikim-wifi,2442,-91.0,32.10253330333696,35.20726399020641,699.287760530489,2017-12-03 08:37:10,Aprrox. w-center Algo1
8,a0:4f:d4:3b:e9:01,Lidor a,2437,-84.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13,Aprrox. w-center Algo1
9,14:ae:db:3a:64:05,tanya,2412,-86.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13,Aprrox. w-center Algo1
10,10:be:f5:3b:68:2c,Hagar,2462,-87.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13,Aprrox. w-center Algo1
11,1c:b9:c4:16:f4:7c,Ariel_University,5180,-91.0,32.10292299307286,35.20906740670732,701.3617440757951,2017-12-03 08:46:19,Aprrox. w-center Algo1
12,ec:8c:a2:08:a9:38,Ariel_University,2437,-88.0,32.10276968784859,35.207536172161696,695.1730814282531,2017-12-03 08:37:13,Aprrox. w-center Algo1
13,00:21:04:4c:2a:a2,Yan,2437,-89.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13,Aprrox. w-center Algo1
14,a0:4f:d4:3a:a0:e1,Cellcom-WiFi_0123,2462,-89.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13,Aprrox. w-center Algo1
15,ec:8c:a2:08:94:1c,Ariel_University,5220,-91.0,32.10309001180005,35.20868108594463,701.389314977083,2017-12-03 08:50:20,Aprrox. w-center Algo1
16,ec:8c:a2:08:94:18,Ariel_University,2412,-88.0,32.10292104843761,35.2089983886386,692.0885428372382,2017-12-03 08:54:44,Aprrox. w-center Algo1
17,d0:0f:6d:f1:35:2f,Sveta,2427,-85.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
18,a0:ab:1b:59:55:54,ear,2412,-85.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
19,b0:48:7a:a1:80:8c,Knoch,2427,-86.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
20,10:be:f5:39:8f:f2,LARISA,2422,-86.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
21,00:12:2a:39:2c:3c,netbox-550b,2412,-86.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
22,10:be:f5:a7:b4:f4,Home,2442,-87.0,32.10251814263996,35.20734901460898,698.9056862429085,2017-12-03 08:37:15,Aprrox. w-center Algo1
23,1c:b9:c4:96:f1:97, ,5300,-88.0,32.10229102378868,35.2089337877798,699.6054525699566,2017-12-03 08:37:15,Aprrox. w-center Algo1
24,ec:8c:a2:08:78:cc,Ariel_University,5240,-91.0,32.10335878311027,35.20870015763682,708.7927276449859,2017-12-03 08:46:03,Aprrox. w-center Algo1
25,1c:b9:c4:16:d2:88,Ariel_University,2462,-92.0,32.10321170797197,35.20872983002249,699.4697658569372,2017-12-03 08:37:15,Aprrox. w-center Algo1
26,14:ae:db:43:88:35,BEZEQINT-8831,2437,-85.0,32.10251581558651,35.207339181669674,697.993173771496,2017-12-03 08:37:18,Aprrox. w-center Algo1
27,ec:8c:a2:09:03:38,Ariel_University,2412,-85.0,32.10281447386213,35.20758104767403,693.2074095942437,2017-12-03 08:37:18,Aprrox. w-center Algo1
28,1c:b9:c4:14:33:c8,Ariel_University,2462,-90.0,32.102717815918716,35.20875975736715,692.9663704254782,2017-12-03 08:37:18,Aprrox. w-center Algo1
29,1c:b9:c4:96:28:f7, ,5180,-92.0,32.10242248031378,35.20871363230101,704.2728646362713,2017-12-03 08:45:57,Aprrox. w-center Algo1
30,1c:b9:c4:96:f4:77, ,5180,-89.0,32.10282120960932,35.20819917827672,693.7210746575796,2017-12-03 08:41:28,Aprrox. w-center Algo1
31,ec:8c:a2:88:94:17, ,5220,-89.0,32.10295615016013,35.208563541255366,702.3137027422761,2017-12-03 08:50:48,Aprrox. w-center Algo1
32,00:8c:54:90:ce:d1,victoria,2462,-89.0,32.10251743683182,35.2073387273908,695.5775665899107,2017-12-03 08:37:24,Aprrox. w-center Algo1
33,ec:8c:a2:08:78:c8,Ariel_University,2437,-91.0,32.10293897376295,35.20873357187964,695.6633516858249,2017-12-03 08:54:29,Aprrox. w-center Algo1
34,06:ae:db:3a:64:05,BezeqFree,2412,-84.0,32.102458386443125,35.20743113335047,694.8881937656644,2017-12-03 08:37:27,Aprrox. w-center Algo1
35,1c:b9:c4:14:33:cc,Ariel_University,5240,-90.0,32.10246892407857,35.20892588427658,701.7685980600205,2017-12-03 08:46:19,Aprrox. w-center Algo1
36,14:ae:db:cb:05:f5,Mama,2462,-90.0,32.102458386443125,35.20743113335047,694.8881937656644,2017-12-03 08:37:27,Aprrox. w-center Algo1
37,ec:9b:f3:26:ab:3a,SGH-I337M,2437,-92.0,32.10280900493248,35.208211488627946,697.7819011513628,2017-12-03 08:37:27,Aprrox. w-center Algo1
38,80:37:73:d7:ab:3a,Hoom_2.4,2412,-88.0,32.10246378160256,35.207563401001366,694.129943277534,2017-12-03 08:37:30,Aprrox. w-center Algo1
39,ec:8c:a2:89:03:37, ,5220,-85.0,32.10309570760303,35.20769665213842,691.9218910832049,2017-12-03 08:38:13,Aprrox. w-center Algo1
40,ec:8c:a2:09:03:3c,Ariel_University,5220,-84.0,32.10310231558724,35.207698037468575,691.9064470832453,2017-12-03 08:38:13,Aprrox. w-center Algo1
41,1c:b9:c4:16:d2:8c,Ariel_University,5220,-91.0,32.1032633068178,35.208704009391674,706.5972619965181,2017-12-03 08:45:39,Aprrox. w-center Algo1
42,14:ae:db:58:0d:6d,__ery,2462,-91.0,32.10258798763252,35.20759021123835,693.1085203108703,2017-12-03 08:37:33,Aprrox. w-center Algo1
43,cc:fa:00:ae:93:46,bezek freeee,2437,-86.0,32.10263460161589,35.20757686137406,692.0341048029707,2017-12-03 08:37:36,Aprrox. w-center Algo1
44,00:0e:f4:c1:50:14,vladimir,2462,-92.0,32.10263460161589,35.20757686137406,692.0341048029708,2017-12-03 08:37:36,Aprrox. w-center Algo1
45,ec:8c:a2:08:a9:3c,Ariel_University,5180,-90.0,32.10294522725105,35.20767327460506,691.0835484362619,2017-12-03 08:37:39,Aprrox. w-center Algo1
46,1c:b9:c4:16:28:f8,Ariel_University,2437,-91.0,32.10275032503879,35.20894605821239,696.4232288674488,2017-12-03 08:37:39,Aprrox. w-center Algo1
47,a4:08:f5:20:72:6a,HOTFiber-3C40,2412,-87.0,32.102861507686676,35.2076291986019,691.1036071541976,2017-12-03 08:37:42,Aprrox. w-center Algo1
48,ec:8c:a2:08:77:48,Ariel_University,2437,-88.0,32.102861507686676,35.2076291986019,691.1036071541976,2017-12-03 08:37:42,Aprrox. w-center Algo1
49,14:ae:db:cf:86:f5,Biren2809,2462,-92.0,32.103147609584674,35.20814477182254,691.7941043072863,2017-12-03 08:41:22,Aprrox. w-center Algo1
50,1c:b9:c4:16:f4:78,Ariel_University,2412,-88.0,32.102902326926845,35.20891379545853,698.267876857363,2017-12-03 08:55:26,Aprrox. w-center Algo1
51,1c:b9:c4:96:d2:87, ,5220,-89.0,32.10297429619621,35.20769754582129,690.9460551220589,2017-12-03 08:37:45,Aprrox. w-center Algo1
52,ec:8c:a2:09:93:b8,Ariel_University,2462,-90.0,32.10297429619621,35.20769754582129,690.9460551220589,2017-12-03 08:37:45,Aprrox. w-center Algo1
53,ec:8c:a2:08:7a:1c,Ariel_University,5220,-89.0,32.103496612890034,35.207792404900374,690.6301240378523,2017-12-03 08:37:49,Aprrox. w-center Algo1
54,ec:8c:a2:08:a9:28,Ariel_University,2462,-90.0,32.10361868733056,35.207816709365744,690.5070726021236,2017-12-03 08:38:25,Aprrox. w-center Algo1
55,ec:8c:a2:09:0c:cc,Ariel_University,5220,-88.0,32.10321891949164,35.2077603995489,690.8382411765818,2017-12-03 08:37:52,Aprrox. w-center Algo1
56,ec:8c:a2:08:78:3c,Ariel_University,5200,-89.0,32.10317578496331,35.2077533608269,690.8658803245012,2017-12-03 08:37:52,Aprrox. w-center Algo1
57,ec:8c:a2:08:a9:2c,Ariel_University,5220,-91.0,32.103766485175285,35.20783180358038,690.3776746163047,2017-12-03 08:37:52,Aprrox. w-center Algo1
58,ec:8c:a2:88:a9:27, ,5220,-89.0,32.10377986390148,35.207818162044134,690.4231966047739,2017-12-03 08:38:22,Aprrox. w-center Algo1
59,ec:8c:a2:88:a9:37, ,5180,-81.0,32.103254567862166,35.20776621667453,690.8153989055744,2017-12-03 08:37:55,Aprrox. w-center Algo1
60,ec:8c:a2:26:ae:28,Ariel_University,2462,-88.0,32.103254567862166,35.20776621667453,690.8153989055744,2017-12-03 08:37:55,Aprrox. w-center Algo1
61,a0:4f:d4:46:a9:e1,richman,2462,-92.0,32.103254567862166,35.20776621667453,690.8153989055744,2017-12-03 08:37:55,Aprrox. w-center Algo1
62,ec:8c:a2:88:7a:17, ,5220,-87.0,32.10375939005184,35.207824304039484,690.4413487921157,2017-12-03 08:38:22,Aprrox. w-center Algo1
63,ec:8c:a2:08:7a:18,Ariel_University,2412,-84.0,32.10377787980504,35.20782590179721,690.4274628299759,2017-12-03 08:38:22,Aprrox. w-center Algo1
64,ec:8c:a2:08:78:38,Ariel_University,2412,-81.0,32.103323385092075,35.20778662747971,690.7687922307229,2017-12-03 08:37:58,Aprrox. w-center Algo1
65,ec:8c:a2:26:b0:58,Ariel_University,2437,-84.0,32.103323385092075,35.20778662747971,690.7687922307229,2017-12-03 08:37:58,Aprrox. w-center Algo1
66,ec:8c:a2:88:78:37, ,5200,-90.0,32.103323385092075,35.20778662747971,690.7687922307229,2017-12-03 08:37:58,Aprrox. w-center Algo1
67,ec:8c:a2:08:7b:8c,Ariel_University,5200,-91.0,32.103679060441586,35.20782822405939,690.5042269400623,2017-12-03 08:37:58,Aprrox. w-center Algo1
68,ec:8c:a2:09:86:d8,Ariel_University,2437,-92.0,32.103323385092075,35.20778662747971,690.7687922307229,2017-12-03 08:37:58,Aprrox. w-center Algo1
69,ec:8c:a2:89:0c:c7, ,5220,-86.0,32.10342051137385,35.20780552775216,690.6874448611455,2017-12-03 08:38:04,Aprrox. w-center Algo1
70,ec:8c:a2:09:0c:c8,Ariel_University,2412,-86.0,32.10342051137385,35.20780552775216,690.6874448611455,2017-12-03 08:38:04,Aprrox. w-center Algo1
71,ec:8c:a2:88:7b:87, ,5200,-89.0,32.103921780553286,35.20789536622503,690.2937519226791,2017-12-03 08:38:28,Aprrox. w-center Algo1
72,ec:8c:a2:08:90:cc,Ariel_University,5180,-87.0,32.10342051137385,35.20780552775216,690.6874448611455,2017-12-03 08:38:04,Aprrox. w-center Algo1
73,ec:8c:a2:08:90:c8,Ariel_University,2462,-89.0,32.1036008123458,35.20781952974852,690.5542770521721,2017-12-03 08:38:07,Aprrox. w-center Algo1
74,ec:8c:a2:09:8c:38,Ariel_University,2412,-80.0,32.10353355128237,35.20781291804855,690.5795129917332,2017-12-03 08:38:10,Aprrox. w-center Algo1
75,00:27:22:f3:bb:3a, ,2437,-86.0,32.10353355128237,35.20781291804855,690.5795129917332,2017-12-03 08:38:10,Aprrox. w-center Algo1
76,00:27:22:f3:bb:86, ,2437,-87.0,32.10375725007887,35.20784015835278,690.4441102635042,2017-12-03 08:38:10,Aprrox. w-center Algo1
77,ec:8c:a2:09:8c:3c,Ariel_University,5220,-88.0,32.10353355128237,35.20781291804855,690.5795129917332,2017-12-03 08:38:10,Aprrox. w-center Algo1
